,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Households_Urban,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Started
210,Bihar,Purnia,3264619,1699370,1565249,1332326,805261,527065,712847,85749,798596,2155512,696556,372692,39859
211,Bihar,Katihar,3071029,1600430,1470599,1280190,762256,517934,668232,69838,738070,2054202,660403,353483,2941
212,Bihar,Madhepura,2001762,1047559,954203,834577,517666,316911,486278,24000,510278,1311771,444235,242382,3374
213,Bihar,Saharsa,1900661,997174,903487,804996,506374,298622,432651,38046,470697,1249692,415863,233870,1236
214,Bihar,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,907174,95539,1002713,2535344,865971,529314,6756
215,Bihar,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,998694,120700,1119394,3016735,1079189,697108,8030
216,Bihar,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,515925,38133,554058,1642807,546202,370662,2341
217,Bihar,Siwan,3330464,1675090,1655374,1930175,1115906,814269,632514,41858,674372,2115448,713597,498299,3120
218,Bihar,Saran,3951862,2022821,1929041,2157454,1285767,871687,701323,76299,777622,2516115,847031,585386,3330
219,Bihar,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,699317,51494,750811,2176701,759132,486032,73156
220,Bihar,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,1012979,43486,1056465,2766930,913339,568812,12485
221,Bihar,Begusarai,2970541,1567660,1402881,1548673,918507,630166,594377,139248,733625,1951688,644874,369996,3983
222,Bihar,Khagaria,1666886,883786,783100,768028,461153,306875,373696,21007,394703,1114645,355531,195796,914
223,Bihar,Bhagalpur,3037766,1615663,1422103,1573066,937669,635397,522527,130634,653161,1952879,674660,397654,12573
224,Bihar,Banka,2034763,1067140,967623,965321,590961,374360,425604,18492,444096,1291235,462080,278863,2585
225,Bihar,Munger,1367765,729041,638724,801817,473741,328076,222281,85782,308063,860147,316713,188319,2586
226,Bihar,Lakhisarai,1000912,526345,474567,507270,305182,202088,175882,31763,207645,650642,218840,130655,775
227,Bihar,Sheikhpura,636342,329743,306599,328676,196431,132245,108293,24345,132638,413475,136898,85045,924
228,Bihar,Nalanda,2877653,1497060,1380593,1519933,919558,600375,514141,102522,616663,1829128,642197,403129,3199
229,Bihar,Patna,5838465,3078512,2759953,3459679,2028047,1431632,657991,552103,1210094,3626564,1382654,815638,13609
230,Bihar,Bhojpur,2728407,1430380,1298027,1599151,973486,625665,434559,77368,511927,1722387,613072,387389,5559
231,Bihar,Buxar,1706352,887977,818375,989807,593544,396263,299252,35405,334657,1074754,375372,253998,2228
232,Bihar,Kaimur (Bhabua),1626384,847006,779378,920276,549923,370353,325143,15299,340442,1039302,353413,226808,6861
233,Bihar,Rohtas,2959918,1543546,1416372,1799832,1061783,738049,512383,95678,608061,1875174,673742,407193,3809
234,Bihar,Aurangabad,2540073,1318684,1221389,1466002,868733,597269,428291,49006,477297,1626969,564571,340948,7585
235,Bihar,Gaya,4391418,2266566,2124852,2297613,1368803,928810,696289,111282,807571,2810026,936630,537333,107429
236,Bihar,Nawada,2219146,1144668,1074478,1091012,659474,431538,379551,45323,424874,1440781,485628,288805,3932
237,Bihar,Jamui,1760405,916064,844341,858588,534385,324203,325909,30851,356760,1135919,392052,227016,5418
238,Bihar,Jehanabad,1125313,585582,539731,618881,374412,244469,186660,28132,214792,714244,254582,155106,1381
239,Bihar,Arwal,700843,363497,337346,386351,235279,151072,134334,9960,144294,444448,156031,98550,1814
240,Sikkim,North  District,43709,24730,18979,30450,18579,11871,11543,2066,13609,27099,11674,4887,49
241,Sikkim,West District,136435,70238,66197,93432,51988,41444,32091,1886,33977,84209,32520,19400,306
242,Sikkim,South District,146850,76670,70180,106741,59357,47384,31135,8163,39298,87982,37318,20982,568
243,Sikkim,East District,283583,151432,132151,214329,121345,92984,40626,41512,82138,165520,80354,37456,253
244,Arunachal Pradesh,Tawang,49977,29151,20826,26073,17720,8353,10730,2452,13182,30709,13849,5399,20
245,Arunachal Pradesh,West Kameng,83947,46155,37792,48492,29566,18926,17889,0,0,53026,22362,8493,66
246,Arunachal Pradesh,East Kameng,78690,38775,39915,38449,21599,16850,14503,5215,19718,53752,17922,6960,56
247,Arunachal Pradesh,Papum Pare,176573,89182,87391,121048,65794,55254,20308,30180,50488,120592,43812,11856,313
248,Arunachal Pradesh,Upper Subansiri,83448,41758,41690,45278,24807,20471,14542,4672,19214,56054,20055,7230,109
249,Arunachal Pradesh,West Siang,112274,58168,54106,64746,36777,27969,22272,8503,30775,70415,28305,13469,85
250,Arunachal Pradesh,East Siang,99214,50116,49098,62576,34210,28366,19497,9524,29021,61993,25334,11802,85
251,Arunachal Pradesh,Upper Siang,35320,18699,16621,18195,10723,7472,8569,2182,10751,21090,8910,5252,68
252,Arunachal Pradesh,Changlang,148226,76948,71278,73174,44027,29147,33422,6498,39920,96630,35018,16414,164
253,Arunachal Pradesh,Tirap,111975,57604,54371,47974,29313,18661,18420,6500,24920,71785,25669,14423,98
254,Arunachal Pradesh,Lower Subansiri,83030,41843,41187,54057,29470,24587,18112,5365,23477,55258,20305,7412,55
255,Arunachal Pradesh,Kurung Kumey,92076,45318,46758,36606,20258,16348,18603,1092,19695,64379,20713,6836,148
256,Arunachal Pradesh,Dibang Valley,8004,4414,3590,4436,2614,1822,2055,1175,3230,5113,2088,786,17
257,Arunachal Pradesh,Lower Dibang Valley,54080,28053,26027,31849,18087,13762,12000,3950,15950,35140,13254,5652,34
258,Arunachal Pradesh,Lohit,145726,76221,69505,83062,48380,34682,33599,11372,44971,94890,35493,15195,148
259,Arunachal Pradesh,Anjaw,21167,11507,9660,9990,6523,3467,6025,428,6453,13913,4755,2456,43
260,Nagaland,Mon,250260,131753,118507,119626,67432,52194,43607,7415,51022,168773,53600,27437,450
261,Nagaland,Mokokchung,194622,101092,93530,159494,83479,76015,37536,17742,55278,111243,52853,30363,163
262,Nagaland,Zunheboto,140757,71217,69540,102881,53504,49377,31267,6044,37311,91709,32267,16730,51
263,Nagaland,Wokha,166343,84505,81838,128208,67385,60823,38499,8170,46669,106951,40510,18811,71
264,Nagaland,Dimapur,378811,197394,181417,278037,150142,127895,49116,62853,111969,243392,98601,36618,200
265,Nagaland,Phek,163418,83743,79675,105893,57926,47967,38903,7295,46198,108514,37842,16969,93
266,Nagaland,Tuensang,196596,101933,94663,117511,63653,53858,40690,9451,50141,134573,43210,18762,51
267,Nagaland,Longleng,50484,26502,23982,29859,16139,13720,12686,2451,15137,33970,11210,5271,33
268,Nagaland,Kiphire,74004,37830,36174,41232,22675,18557,16032,4290,20322,52699,14955,6309,41
269,Nagaland,Kohima,267988,138966,129022,197489,107038,90451,31845,44255,76100,173701,68485,25557,245
270,Nagaland,Peren,95219,49714,45505,62204,34584,27620,20204,4073,24277,64393,21597,9156,73
271,Manipur,Senapati,479148,247323,231825,264477,148012,116465,38008,1826,39834,314439,111516,52008,1185
272,Manipur,Tamenglong,140651,72371,68280,85006,47403,37603,23982,4119,28101,90273,33290,16924,164
273,Manipur,Churachandpur,274143,138820,135323,195935,104013,91922,52972,4853,57825,168608,67802,37096,637
274,Manipur,Bishnupur,237399,118782,118617,156333,87313,69020,34977,21172,56149,135220,62907,38815,457
275,Manipur,Thoubal,422168,210845,211323,269304,152617,116687,65961,38302,104263,251975,107196,62060,937
276,Manipur,Imphal West,517992,255054,262938,392626,205985,186641,51055,85746,136801,278940,148146,89394,1512
277,Manipur,Imphal East,456113,226094,230019,324664,173314,151350,64421,46520,110941,261530,123439,70005,1139
278,Manipur,Ukhrul,183998,94718,89280,129829,70148,59681,36084,5806,41890,113715,43646,25165,1472
279,Manipur,Chandel,144182,74579,69603,90302,51053,39249,30377,3783,34160,86255,39324,18329,274
280,Mizoram,Mamit,86364,44828,41536,60191,32977,27214,16726,4129,20855,55914,20082,10318,50
281,Mizoram,Kolasib,83955,42918,41037,65895,34147,31748,9669,12507,22176,52147,20576,11167,65
282,Mizoram,Aizawl,400309,199270,201039,340595,169547,171048,20570,80341,100911,235892,108094,56092,231
283,Mizoram,Champhai,125745,63388,62357,100802,51440,49362,18395,12717,31112,78778,29690,17189,88
284,Mizoram,Serchhip,64937,32851,32086,54476,27598,26878,7472,8018,15490,39568,15894,9404,71
285,Mizoram,Lunglei,161428,82891,78537,121122,64515,56607,21479,17315,38794,100250,39690,21424,64
286,Mizoram,Lawngtlai,117894,60599,57295,62861,36444,26417,21993,5273,27266,80723,25303,11831,37
287,Mizoram,Saiha,56574,28594,27980,42233,21861,20372,7043,5784,12827,37127,12784,6636,27
288,Tripura,West Tripura,1725739,879428,846311,1361354,722998,638356,289621,217016,506637,940424,499719,284637,959
289,Tripura,South Tripura,876001,447544,428457,646810,351082,295728,219171,44906,264077,505558,236676,133424,343
290,Tripura,Dhalai,378230,194544,183686,276217,151643,124574,89457,14071,103528,232286,95548,50269,127
291,Tripura,North Tripura,693947,352860,341087,520402,275646,244756,150437,42184,192621,414878,178608,100274,187
292,Meghalaya,West Garo Hills,643291,324159,319132,358702,193438,165264,139351,18594,157945,427629,143604,70599,1459
293,Meghalaya,East Garo Hills,317917,161223,156694,192147,102513,89634,62698,11518,74216,216742,70424,29926,825
294,Meghalaya,South Garo Hills,142334,73170,69164,82062,45003,37059,35930,3713,39643,97082,30605,14495,152
295,Meghalaya,West Khasi Hills,383461,193715,189746,230678,117307,113371,74832,12299,87131,278569,69988,33431,1473
296,Meghalaya,Ribhoi,258840,132531,126309,155859,80977,74882,57988,5736,63724,183343,52945,22365,187
297,Meghalaya,East Khasi Hills,825922,410749,415173,578030,287270,290760,106248,108843,215091,545961,192428,86576,957
298,Meghalaya,Jaintia Hills,395124,196285,198839,187527,87371,100156,76546,7171,83717,291097,72934,30362,731
299,Assam,Kokrajhar,887142,452905,434237,489305,275220,214085,204896,17115,222011,552671,224715,108956,800
300,Assam,Dhubri,1949258,997848,951410,922341,511551,410790,460602,60417,521019,1286592,439375,221745,1546
301,Assam,Goalpara,1008183,513292,494891,563577,304302,259275,228610,39504,268114,650509,239831,117427,416
302,Assam,Barpeta,1693622,867004,826618,897058,499038,398020,447189,52192,499381,1072312,405046,215355,909
303,Assam,Morigaon,957423,486651,470772,539902,289698,250204,232206,25275,257481,612737,225224,118271,1191
304,Assam,Nagaon,2823768,1439112,1384656,1710716,921850,788866,674999,124186,799185,1778277,678034,366112,1345
305,Assam,Sonitpur,1924110,983904,940206,1108572,620525,488047,483325,64528,547853,1159991,501239,261648,1232
306,Assam,Lakhimpur,1042137,529674,512463,683486,375552,307934,293239,34694,327933,639385,268872,133615,265
307,Assam,Dhemaji,686133,351249,334884,423028,237761,185267,211758,16504,228262,434221,169630,82051,231
308,Assam,Tinsukia,1327929,680231,647698,798322,453449,344873,290704,90910,381614,799874,352158,175377,520
309,Assam,Dibrugarh,1326335,676434,649901,884531,491361,393170,299852,77163,377015,767147,371864,186774,550
310,Assam,Sivasagar,1151050,589216,561834,813505,444767,368738,360182,45047,405229,648056,330947,171710,337
311,Assam,Jorhat,1092256,556805,535451,794929,432335,362594,286330,80824,367154,604908,315550,171062,736
312,Assam,Golaghat,1066888,543161,523727,721764,396475,325289,292893,34190,327083,629153,289085,148244,406
313,Assam,Karbi Anglong,956313,490167,466146,557214,314253,242961,215691,37185,252876,618633,233739,103123,818
314,Assam,Dima Hasao,214102,110802,103300,140873,78559,62314,37610,21309,58919,135463,53699,24830,110
315,Assam,Cachar,1736617,886284,850333,1174128,639946,534182,346227,88933,435160,1048990,444899,241776,952
316,Assam,Karimganj,1228686,625864,602822,795297,435942,359355,261945,32695,294640,779850,284368,163990,478
317,Assam,Hailakandi,659296,337890,321406,407366,226836,180530,159215,16202,175417,419921,156243,82841,291
318,Assam,Bongaigaon,738804,375818,362986,434078,237114,196964,181923,38470,220393,458796,184849,94939,220
319,Assam,Chirang,482162,244860,237302,259902,145869,114033,129018,11613,140631,301518,122244,58282,118
320,Assam,Kamrup,1517542,778461,739081,995319,550219,445100,390596,43849,434445,895775,408232,212740,795
321,Assam,Kamrup Metropolitan,1253938,647585,606353,1001191,537227,463964,61334,366858,428192,659453,401500,190908,2077
322,Assam,Nalbari,771639,396006,375633,531771,293184,238587,210706,28238,238944,442061,211320,117809,449
323,Assam,Baksa,950075,481330,468745,572837,322614,250223,291641,3580,295221,563089,256282,130083,621
324,Assam,Darrang,928500,475273,453227,487039,268666,218373,268517,20189,288706,583436,226525,118102,437
325,Assam,Udalguri,831668,421617,410051,469926,264326,205600,267790,13835,281625,499214,221518,109962,974
326,West Bengal,Darjiling,1846823,937259,909564,1315585,717673,597912,303284,215675,518959,1031221,523288,289979,2335
327,West Bengal,Jalpaiguri,3872846,1983064,1889782,2498780,1396622,1102158,798378,319426,1117804,2259507,1035449,575667,2223
328,West Bengal,Koch Bihar,2819086,1451542,1367544,1850504,1028733,821771,803407,97331,900738,1623320,744646,448761,2359
329,West Bengal,Uttar Dinajpur,3007134,1551066,1456068,0,853495,0,683981,94269,778250,1916033,704859,385155,1087
330,West Bengal,Dakshin Dinajpur,1676276,857199,819077,1083685,596474,487211,390949,70077,461026,937283,465982,271423,1588
331,West Bengal,Maldah,3988845,2051541,1937304,2086432,1152019,934413,830318,128678,958996,2511004,955283,520122,2436
332,West Bengal,Murshidabad,7103807,3627564,3476243,4055834,2177187,1878647,1501066,350899,1851965,4390564,1717594,991413,4236
333,West Bengal,Birbhum,3502404,1790920,1711484,2158447,1201481,956966,831044,134565,965609,2008655,952059,539463,2227
334,West Bengal,Barddhaman,7717563,3966889,3750674,5247208,2918040,2329168,1364868,862368,2227236,4149420,2265543,1292913,9687
335,West Bengal,Nadia,5167600,2653768,2513832,3480555,1878866,1601689,1081381,468390,1549771,2745828,1484986,934417,2369
336,West Bengal,North Twenty Four Parganas,10009781,5119389,4890392,7608693,4056046,3552647,1209337,1649803,2859140,5104876,2968996,1921143,14766
337,West Bengal,Hugli,5519145,2814653,2704492,4078388,2211777,1866611,992085,647953,1640038,2766489,1688206,1060821,3629
338,West Bengal,Bankura,3596674,1838095,1758579,2232992,1299337,933655,900515,90885,991400,1942335,1014764,637834,1741
339,West Bengal,Puruliya,2930115,1496996,1433119,1624905,1002058,622847,653219,99433,752652,1678057,764776,484166,3116
340,West Bengal,Haora,4850029,2500819,2349210,3605206,1942824,1662382,483384,869313,1352697,2587164,1423304,833104,6457
341,West Bengal,Kolkata,4496694,2356766,2139928,3588137,1926915,1661222,0,1308106,1308106,2025389,1433314,1014769,23222
342,West Bengal,South Twenty Four Parganas,8161961,4173778,3988183,5531657,3043277,2488380,1568802,611430,2180232,4763943,2151474,1235558,10986
343,West Bengal,Paschim Medinipur,5913457,3007885,2905572,4078412,2266913,1811499,1364335,201048,1565383,3243971,1664250,990179,15057
344,West Bengal,Purba Medinipur,5095875,2629834,2466041,3923194,2149073,1774121,1193006,170707,1363713,2866678,1384242,842025,2930
345,Jharkhand,Garhwa,1322784,683575,639209,653476,405161,248315,272872,19180,292052,860869,284036,177599,280
346,Jharkhand,Chatra,1042886,533935,508951,510061,303902,206159,200974,14528,215502,692650,222892,126682,662
347,Jharkhand,Kodarma,716259,367222,349037,390249,238780,151469,116714,34771,151485,462098,158603,95309,249
348,Jharkhand,Giridih,2445474,1258098,1187376,1253475,783736,469739,452564,46886,499450,1597269,533788,312967,1450
349,Jharkhand,Deoghar,1492073,775022,717051,793538,0,0,257373,64337,321710,944961,338413,205514,3185
350,Jharkhand,Godda,1313551,677927,635624,604519,376212,228307,276454,15576,292030,820367,308639,183519,1026
351,Jharkhand,Sahibganj,1150567,589391,561176,483263,287303,195960,223450,37543,260993,745027,261849,137727,5964
352,Jharkhand,Pakur,900422,452661,447761,352881,206989,145892,200588,16587,217175,587976,206826,104418,1202
353,Jharkhand,Dhanbad,2684487,1405956,1278531,1722204,1014950,707254,258764,405455,664219,1634835,648876,356445,44331
354,Jharkhand,Bokaro,2062330,1072807,989523,1273520,759088,514432,250312,258452,508764,1261238,510375,282115,8602
355,Jharkhand,Lohardaga,461790,232629,229161,259707,149568,110139,96759,14725,111484,298844,100340,62244,362
356,Jharkhand,Purbi Singhbhum,2293919,1176902,1117017,1507699,856526,651173,262537,342126,604663,1292595,632314,368148,862
357,Jharkhand,Palamu,1939869,1006302,933567,1024563,621706,402857,355529,52375,407904,1244572,425668,268387,1242
358,Jharkhand,Latehar,726978,369666,357312,350682,209706,140976,146377,14137,160514,484084,152720,89870,304
359,Jharkhand,Hazaribagh,1734495,890881,843614,1013249,596113,417136,312983,68765,381748,1107452,396466,230033,544
360,Jharkhand,Ramgarh,949443,494230,455213,596497,350031,246466,134067,118558,252625,594747,230525,123794,377
361,Jharkhand,Dumka,1321442,668514,652928,672409,406275,266134,303697,23281,326978,799323,324226,196164,1729
362,Jharkhand,Jamtara,791042,404830,386212,426312,258260,168052,165555,20113,185668,480895,189889,0,0
363,Jharkhand,Ranchi,2914253,1494937,1419316,1911433,1085244,826189,420740,310242,730982,1742293,725938,409166,36856
364,Jharkhand,Khunti,531885,266335,265550,284575,164741,119834,0,0,135719,327152,125649,78736,348
365,Jharkhand,Gumla,1025213,514390,510823,559720,321795,237925,216629,16445,233074,643579,225871,155452,311
366,Jharkhand,Simdega,599578,300309,299269,343483,191991,151492,144169,11114,155283,357859,143560,97817,342
367,Jharkhand,Pashchimi Singhbhum,1502338,749385,752953,727561,439273,288288,336928,63396,400324,960987,353305,187635,411
368,Jharkhand,Saraikela-Kharsawan,1065056,544411,520645,612993,365332,247661,217248,68439,285687,634975,265892,161542,2647
369,Orissa,Bargarh,1481255,749161,732094,983783,557217,426566,411566,47395,458961,787033,410005,282422,1795
370,Orissa,Jharsuguda,579505,296690,282815,405879,228092,177787,103224,73962,177186,320156,159477,98555,1317
371,Orissa,Sambalpur,1041099,526877,514222,703691,393192,310499,220697,94798,315495,565700,286575,186726,2098
372,Orissa,Debagarh,312520,158230,154290,197819,112649,85170,91408,7350,98758,176062,81789,53989,680
373,Orissa,Sundargarh,2093437,1061147,1032290,1342322,750147,592175,387911,230151,618062,1188918,573238,324436,6845
374,Orissa,Kendujhar,1801733,906487,895246,1052518,605119,447399,490634,83664,574298,1038890,472908,282751,7184
375,Orissa,Mayurbhanj,2519738,1256213,1263525,1369397,794171,575226,689110,64479,753589,1449729,650135,414076,5798
376,Orissa,Baleshwar,2320529,1185787,1134742,1621232,902359,718873,601154,82440,683594,1303828,622575,390611,3515
377,Orissa,Bhadrak,1506337,760260,746077,1094140,596269,497871,373862,54244,428106,848660,393629,260486,3562
378,Orissa,Kendrapara,1440361,717814,722547,1089265,579970,509295,414749,23494,438243,771284,374559,290894,3624
379,Orissa,Jagatsinghapur,1136971,577865,559106,889027,481049,407978,309685,43047,352732,577896,317148,238753,3174
380,Orissa,Cuttack,2624470,1352760,1271710,2011469,1103033,908436,579529,210768,790297,1372301,743090,499895,9184
381,Orissa,Jajapur,1827192,926034,901158,1290455,706396,584059,495611,45528,541139,1010147,479392,332706,4947
382,Orissa,Dhenkanal,1192811,612593,580218,829910,464093,365817,315390,36979,352369,641697,326233,222398,2483
383,Orissa,Anugul,1273821,655718,618103,869456,494425,375031,340410,74177,414587,708493,347521,213517,4290
384,Orissa,Nayagarh,962789,502636,460153,688362,392333,296029,261646,26688,288334,502136,262086,196994,1573
385,Orissa,Khordha,2251673,1167137,1084536,1749936,957515,792421,331834,356895,688729,1199521,653346,391701,7105
386,Orissa,Puri,1698730,865380,833350,1291939,704857,587082,402014,72210,474224,888134,477430,328666,4500
387,Orissa,Ganjam,3529031,1779218,1749813,2210050,1262652,947398,795476,219918,1015394,1980232,924756,613249,10794
388,Orissa,Gajapati,577817,282882,294935,262537,153663,108874,152095,23050,175145,345387,144043,85072,3315
389,Orissa,Kandhamal,733110,359945,373165,399786,233900,165886,218446,24489,242935,436625,177471,117777,1237
390,Orissa,Baudh,441162,221625,219537,271612,158648,112964,131377,6577,137954,253467,111571,75046,1078
391,Orissa,Subarnapur,610183,311312,298871,398421,230393,168028,176927,16575,193502,341561,153760,113450,1412
392,Orissa,Balangir,1648997,830097,818900,927260,545672,381588,476770,62192,538962,904026,430011,310876,4084
393,Orissa,Nuapada,610382,301962,308420,299383,180903,118480,197258,11869,209127,344075,152681,112325,1301
394,Orissa,Kalahandi,1576869,787101,789768,802036,484177,317859,456336,38412,494748,880160,415778,275533,5398
395,Orissa,Rayagada,967911,471960,495951,407735,241959,165776,237343,49205,286548,577569,245766,140825,3751
396,Orissa,Nabarangapur,1220946,604812,616134,470379,286984,183395,342840,29424,372264,745206,297552,171761,6427
397,Orissa,Koraput,1379647,678809,700838,568090,340843,227247,381789,78339,460128,818578,348803,207206,5060
398,Orissa,Malkangiri,613192,303624,309568,244706,147001,97705,167884,15839,183723,381913,146355,83284,1640
399,Chhattisgarh,Koriya,658917,334737,324180,397823,229923,167900,121852,59763,181615,399581,165022,94073,241
400,Chhattisgarh,Surguja,2359886,1193129,1166757,1187941,694686,493255,0,65167,0,1441436,561915,355077,1458
401,Chhattisgarh,Jashpur,851669,424747,426922,495415,280656,214759,0,20722,0,488965,214455,148100,149
402,Chhattisgarh,Raigarh,1493984,750278,743706,951639,542756,408883,354278,66638,420916,841958,398257,253488,281
403,Chhattisgarh,Korba,1206640,612915,593725,748759,433391,315368,206598,126055,332653,729708,309479,166959,494
404,Chhattisgarh,Janjgir - Champa,1619707,815717,803990,1019634,593679,425955,379583,61190,440773,975114,383172,260898,523
405,Chhattisgarh,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,549632,188174,737806,1625484,655032,380114,2999
406,Chhattisgarh,Kabeerdham,822526,412058,410468,414167,248503,165664,187311,23868,211179,515971,198517,107854,184
407,Chhattisgarh,Rajnandgaon,1537133,762855,774278,1008379,561355,447024,313604,76528,390132,898915,404418,233068,732
408,Chhattisgarh,Durg,3343872,1682101,1661771,2303378,1284612,1018766,533448,349741,883189,1919832,898241,523656,2143
409,Chhattisgarh,Raipur,4063872,2048186,2015686,2629749,1493158,1136591,673499,395001,1068500,2454299,1038155,560184,11234
410,Chhattisgarh,Mahasamund,1032754,511967,520787,637963,364089,273874,274793,35774,310567,582544,272009,177826,375
411,Chhattisgarh,Dhamtari,799781,397897,401884,546833,303924,242909,168689,41792,210481,461125,213021,125429,206
412,Chhattisgarh,Uttar Bastar Kanker,748941,373338,375603,456042,258298,197744,169191,24878,194069,437598,197603,113450,290
413,Chhattisgarh,Bastar,1413199,698487,714712,650863,382335,268528,316425,54894,371319,864272,358157,189569,1201
414,Chhattisgarh,Narayanpur,139820,70104,69716,56621,33449,23172,26916,6179,33095,91338,33956,14367,159
415,Chhattisgarh,Dakshin Bastar Dantewada,533638,264142,269496,191237,116529,74708,106545,31304,137849,334987,140188,58170,293
416,Chhattisgarh,Bijapur,255230,128663,126567,86919,54076,32843,50449,7942,58391,167348,63802,23927,153
417,Madhya Pradesh,Sheopur,687861,361784,326077,328025,208201,119824,150146,26376,176522,449974,155063,82416,408
418,Madhya Pradesh,Morena,1965970,1068417,897553,1179685,747652,432033,319298,95288,414586,1254302,452484,257704,1480
419,Madhya Pradesh,Bhind,1703005,926843,776162,1094917,676513,418404,271211,88385,359596,1040736,399676,258588,4005
420,Madhya Pradesh,Gwalior,2032036,1090327,941709,1357210,803114,554096,172720,272172,444892,1218319,519728,291451,2538
421,Madhya Pradesh,Datia,786754,420157,366597,491445,303815,187630,160453,43401,203854,473097,195131,118186,340
422,Madhya Pradesh,Shivpuri,1726050,919795,806255,900846,573242,327604,367859,66759,434618,1106084,389652,227989,2325
423,Madhya Pradesh,Tikamgarh,1445166,760355,684811,747940,459353,288587,322772,60220,382992,898323,343824,201875,1144
424,Madhya Pradesh,Chhatarpur,1762375,936121,826254,943033,572010,371023,375869,95048,470917,1112636,394060,252417,3262
425,Madhya Pradesh,Panna,1016520,533480,483040,552559,332140,220419,256744,32179,288923,635347,235035,144827,1311
426,Madhya Pradesh,Sagar,2378458,1256257,1122201,1545719,908607,637112,448408,165507,613915,1470688,569166,335432,3172
427,Madhya Pradesh,Damoh,1264219,661873,602346,747715,445737,301978,303387,66514,369901,768929,312593,181403,1294
428,Madhya Pradesh,Satna,2228935,1157495,1071440,1371781,801051,570730,461831,114173,576004,1365647,535086,326049,2153
429,Madhya Pradesh,Rewa,2365106,1225100,1140006,1441757,845572,596185,523910,94489,618399,1460075,540235,362228,2568
